,accuracy,accuracy_loss,compression,type,tar_type,repr,share_t,acc_t
156,0.9612,2.34,9.954782,BH,K-Means,"[44, 18, 4, 4, 5]",0.38514638,0.5436127
157,0.9634,2.12,10.200998,BH,K-Means,"[46, 15, 4, 3, 7]",0.37725306,0.543972
158,0.9698,1.48,10.217243,BH,K-Means,"[39, 14, 4, 4, 8]",0.37062407,0.5449569
159,0.9684,1.6199999999999999,8.715849,BH,K-Means,"[37, 13, 5, 3, 9]",0.45886016,0.558877
160,0.9802,0.44,9.163329,BH,K-Means,"[42, 13, 6, 4, 7]",0.49180865,0.5397682
161,0.984,0.06,5.9582396,BH,K-Means,"[26, 31, 20, 9, 16]",0.87296677,0.5341246
162,0.9746,1.0,10.178797,BH,K-Means,"[44, 12, 4, 6, 4]",0.3802948,0.5384345
163,0.97,1.46,9.194472,BH,K-Means,"[45, 14, 4, 7, 5]",0.38481903,0.5403085
164,0.9722,1.24,9.659955,BH,K-Means,"[40, 14, 4, 9, 4]",0.3969245,0.5358696
165,0.9692,1.54,8.680288,BH,K-Means,"[43, 13, 4, 5, 9]",0.38156796,0.53738046
166,0.9844,0.02,5.621622,BH,K-Means,"[29, 13, 32, 28, 26]",1.228658,0.53377247
167,0.9736,1.0999999999999999,8.6711645,BH,K-Means,"[43, 15, 4, 9, 5]",0.40827703,0.5316055
168,0.9816,0.3,6.993107,BH,K-Means,"[41, 13, 9, 8, 16]",0.62458944,0.53616476
169,0.9744,1.02,10.151696,BH,K-Means,"[45, 16, 4, 6, 4]",0.38224554,0.5396714
170,0.977,0.76,8.02014,BH,K-Means,"[35, 18, 4, 20, 8]",0.4485507,0.53785396
171,0.9672,1.7399999999999998,9.417481,BH,K-Means,"[40, 11, 4, 3, 18]",0.36110568,0.5440154
172,0.982,0.26,8.611022,BH,K-Means,"[36, 15, 12, 7, 4]",0.6693008,0.5450907
173,0.9752,0.9400000000000001,8.686949,BH,K-Means,"[39, 15, 4, 15, 5]",0.4233873,0.54471207
174,0.9756,0.8999999999999999,9.155374,BH,K-Means,"[42, 15, 4, 7, 7]",0.40727663,0.5455892
175,0.9818,0.27999999999999997,8.244291,BH,K-Means,"[44, 22, 14, 7, 4]",0.761492,0.5438967
176,0.9626,2.1999999999999997,10.929215,BH,K-Means,"[44, 17, 4, 3, 4]",0.3612497,0.54147696
177,0.9756,0.8999999999999999,9.872877,BH,K-Means,"[42, 17, 4, 7, 4]",0.39442515,0.5438063
178,0.9692,1.54,11.233791,BH,K-Means,"[42, 15, 4, 4, 4]",0.3679626,0.5435717
179,0.9706,1.4000000000000001,9.225086,BH,K-Means,"[41, 13, 4, 6, 5]",0.37475014,0.5423796
180,0.9742,1.04,10.165454,BH,K-Means,"[44, 14, 4, 7, 4]",0.39481688,0.5458605
181,0.984,0.06,6.3137207,BH,K-Means,"[28, 27, 16, 13, 12]",0.7579005,0.53753185
182,0.9756,0.8999999999999999,10.179618,BH,K-Means,"[47, 9, 4, 6, 4]",0.375839,0.54145455
183,0.9752,0.9400000000000001,10.190634,BH,K-Means,"[41, 13, 4, 6, 4]",0.3781104,0.54351735
184,0.9746,1.0,10.173938,BH,K-Means,"[44, 12, 4, 8, 4]",0.3929615,0.5416515
185,0.975,0.96,8.639427,BH,K-Means,"[47, 11, 4, 6, 11]",0.39371562,0.5403719
186,0.9838,0.08,5.7254314,BH,K-Means,"[25, 9, 28, 24, 22]",1.1259413,0.53996444
187,0.9774,0.72,9.309168,BH,K-Means,"[46, 19, 4, 13, 4]",0.43142533,0.53829813
188,0.9712,1.34,7.622444,BH,K-Means,"[37, 11, 5, 5, 12]",0.4063177,0.54147863
189,0.975,0.96,9.63158,BH,K-Means,"[47, 12, 4, 9, 4]",0.40231562,0.5442939
190,0.9768,0.7799999999999999,9.656503,BH,K-Means,"[39, 14, 4, 16, 4]",0.42751622,0.54101706
191,0.9762,0.84,8.62398,BH,K-Means,"[44, 9, 4, 7, 14]",0.39188266,0.54349685
192,0.9804,0.42,9.881045,BH,K-Means,"[40, 17, 8, 4, 4]",0.508338,0.54186773
193,0.9768,0.7799999999999999,9.650212,BH,K-Means,"[43, 12, 4, 11, 4]",0.40742135,0.5438645
194,0.9644,2.02,11.2278805,BH,K-Means,"[46, 13, 4, 3, 4]",0.36490345,0.54671454
195,0.9804,0.42,7.7405095,BH,K-Means,"[42, 18, 10, 10, 4]",0.6169336,0.5431409
196,0.974,1.06,10.16249,BH,K-Means,"[44, 15, 4, 6, 4]",0.39888215,0.5449159
197,0.9752,0.9400000000000001,10.16261,BH,K-Means,"[46, 13, 4, 6, 4]",0.39178514,0.54521704
198,0.97,1.46,10.170523,BH,K-Means,"[46, 12, 4, 5, 4]",0.4032793,0.54132676
199,0.9746,1.0,10.173938,BH,K-Means,"[44, 12, 4, 8, 4]",0.39072108,0.54108334
200,0.9724,1.22,9.642109,BH,K-Means,"[43, 14, 4, 9, 4]",0.40904737,0.5391674
201,0.9842,0.04,5.9554543,BH,K-Means,"[32, 31, 16, 17, 11]",0.78278637,0.5341861
202,0.976,0.86,10.710826,BH,K-Means,"[44, 7, 4, 6, 4]",0.36622334,0.53713894
203,0.9698,1.48,10.212067,BH,K-Means,"[38, 13, 4, 5, 4]",0.38523078,0.5368037
204,0.9698,1.48,10.17576,BH,K-Means,"[44, 13, 4, 5, 4]",0.38045287,0.54220295
205,0.9696,1.5,8.594031,BH,K-Means,"[43, 14, 4, 5, 15]",0.39293265,0.5422468
206,0.985,-0.04,5.6667542,BH,K-Means,"[26, 11, 32, 28, 26]",1.237818,0.5428915
207,0.9774,0.72,9.311965,BH,K-Means,"[46, 19, 4, 11, 4]",0.41860938,0.55822945
208,0.971,1.3599999999999999,8.107525,BH,K-Means,"[33, 15, 9, 3, 16]",0.58695364,0.5434272
